Lab,Study,type,SRS_ID,TKN_r,TKN_mpv,NO3_r,NO3_mpv,reported_NO3 method,TN_r,TN_mpv,TKN_r2,NO3_r2,TN_r2,TN_c,compare,inferred _TN_method,reported_TN_method,bias-TN-d,bias-TN-c,TN-d bias %,TN-c bias %,Flag TN-d,Flag TN-c
31,Fall - 2013,(low),119,0.259,0.267,0.277,0.271,colorimetric,NA,0.536,0.259,0.277,NA,0.536,NA,c,NA,NA,0,NA,0,,
31,Fall - 2014,(low),123,0.332,0.32,0.252,0.257,colorimetric,NA,0.555,0.332,0.252,NA,0.584,NA,c,NA,NA,0.029,NA,5.23,,
31,Fall - 2015,(low),127,0.134,0.139,0.305,0.302,colorimetric,NA,0.437,0.134,0.305,NA,0.439,NA,c,NA,NA,0.002,NA,0.46,,
31,Fall - 2016,(low),131,0.14,0.14,0.355,0.362,colorimetric,NA,0.491,0.14,0.355,NA,0.495,NA,c,NA,NA,0.004,NA,0.81,,
31,Fall - 2017,(low),135,0.178,0.18,0.436,0.436,colorimetric,NA,0.616,0.178,0.436,NA,0.614,NA,c,NA,NA,-0.002,NA,-0.32,,
31,Fall - 2018,(low),139,0.125,0.111,0.195,0.2,colorimetric,NA,0.307,0.125,0.195,NA,0.32,NA,c,NA,NA,0.013,NA,4.23,,
31,Spring - 2012,(low),113,0.255,0.258,0.107,0.107,colorimetric,NA,0.349,0.255,0.107,NA,0.362,NA,c,NA,NA,0.013,NA,3.72,,
31,Spring - 2013,(low),117,0.46,0.44,0.222,0.22,colorimetric,NA,0.641,0.46,0.222,NA,0.682,NA,c,NA,NA,0.041,NA,6.4,,
31,Spring - 2014,(low),121,0.142,0.139,0.424,0.418,colorimetric,NA,0.555,0.142,0.424,NA,0.566,NA,c,NA,NA,0.011,NA,1.98,,
31,Spring - 2015,(low),125,0.162,0.162,0.307,0.307,colorimetric,NA,0.464,0.162,0.307,NA,0.469,NA,c,NA,NA,0.005,NA,1.08,,
31,Spring - 2016,(low),129,0.195,0.24,0.266,0.267,colorimetric,NA,0.48,0.195,0.266,NA,0.461,NA,c,NA,NA,-0.019,NA,-3.96,,
31,Spring - 2017,(low),133,0.147,0.134,0.09,0.09,colorimetric,NA,0.199,0.147,0.09,NA,0.237,NA,c,NA,NA,0.038,NA,19.1,,
31,Spring - 2018,(low),137,0.147,0.143,0.323,0.326,colorimetric,NA,0.45,0.147,0.323,NA,0.47,NA,c,NA,NA,0.02,NA,4.44,,
32,Fall - 2013,(high),120,NA,NA,0.707,0.692,NA,0.3,1.21,NA,0.707,0.3,NA,NA,d,colorimetric,-0.91,NA,-75.21,NA,C,
32,Fall - 2013,(low),119,NA,NA,0.274,0.271,NA,1.5,0.536,NA,0.274,1.5,NA,NA,d,colorimetric,0.964,NA,179.85,NA,C,
38,Fall - 2012,(high),116,NA,NA,0.45,0.445,NA,0.92,0.889,NA,0.45,0.92,NA,NA,d,colorimetric,0.031,NA,3.49,NA,,
38,Fall - 2012,(low),115,NA,NA,0.224,0.228,NA,0.48,0.463,NA,0.224,0.48,NA,NA,d,colorimetric,0.017,NA,3.67,NA,,
38,Fall - 2013,(high),120,NA,NA,0.669,0.692,NA,1.26,1.21,NA,0.669,1.26,NA,NA,d,colorimetric,0.05,NA,4.13,NA,,
38,Fall - 2013,(low),119,NA,NA,0.262,0.271,NA,0.58,0.536,NA,0.262,0.58,NA,NA,d,colorimetric,0.044,NA,8.21,NA,,
38,Fall - 2014,(high),124,NA,NA,0.554,0.556,NA,0.77,0.73,NA,0.554,0.77,NA,NA,d,colorimetric,0.04,NA,5.48,NA,,
38,Fall - 2014,(low),123,NA,NA,0.25,0.257,NA,0.57,0.555,NA,0.25,0.57,NA,NA,d,colorimetric,0.015,NA,2.7,NA,,
38,Fall - 2015,(high),128,NA,NA,3.143,3.04,NA,1.81,3.53,NA,3.143,1.81,NA,NA,d,colorimetric,-1.72,NA,-48.73,NA,D,
38,Fall - 2015,(low),127,NA,NA,0.311,0.302,NA,0.46,0.437,NA,0.311,0.46,NA,NA,d,colorimetric,0.023,NA,5.26,NA,,
38,Fall - 2017,(high),136,NA,NA,0.647,0.639,NA,1.07,1.06,NA,0.647,1.07,NA,NA,d,colorimetric,0.01,NA,0.94,NA,,
38,Fall - 2017,(low),135,NA,NA,0.447,0.436,NA,0.64,0.616,NA,0.447,0.64,NA,NA,d,colorimetric,0.024,NA,3.9,NA,,
38,Fall - 2018,(high),140,NA,NA,0.657,0.663,NA,1.3,1.14,NA,0.657,1.3,NA,NA,d,colorimetric,0.16,NA,14.04,NA,,
38,Fall - 2018,(low),139,NA,NA,0.192,0.2,NA,0.31,0.307,NA,0.192,0.31,NA,NA,d,colorimetric,0.003,NA,0.98,NA,,
38,Spring - 2012,(high),114,NA,NA,1.121,1.13,NA,2.12,2.15,NA,1.121,2.12,NA,NA,d,colorimetric,-0.03,NA,-1.4,NA,,
38,Spring - 2012,(low),113,NA,NA,0.105,0.107,NA,0.35,0.349,NA,0.105,0.35,NA,NA,d,colorimetric,0.001,NA,0.29,NA,,
