,Lab,Study,type,SRS_ID,TKN_r,TKN_mpv,NO3_r,NO3_mpv,reported_NO3.method,TN_r,TN_mpv,TKN_r2,NO3_r2,TN_r2,TN_c,compare,inferred._TN_method,reported_TN_method,bias.TN.d,bias.TN.c,TN.d.bias..,TN.c.bias..,Flag.TN.d,Flag.TN.c,TN_rep_ind,TN_estimate2,bias2,bias2_trim2,typemethod
472,59,Spring - 2017,(low),133,0.11,0.134,0.09,0.09,colorimetric,0.18,0.199,0.11,0.09,0.18,0.2,0.02,c,colorimetric,-0.019,0.001,-9.55,0.5,,,1,0.2,0.001,0.001,c (low)
473,59,Spring - 2018,(high),138,0.49,0.495,0.772,0.79,colorimetric,1.28,1.27,0.49,0.772,1.28,1.262,-0.018,c,colorimetric,0.01,-0.008,0.79,-0.63,,,1,1.262,-0.008,-0.008,c (high)
474,59,Spring - 2018,(low),137,0.13,0.143,0.322,0.326,colorimetric,0.45,0.45,0.13,0.322,0.45,0.452,0.002,c,colorimetric,0,0.002,0,0.44,,,1,0.452,0.002,0.002,c (low)
475,85,Spring - 2016,(low),129,0.25,0.24,0.262,0.267,colorimetric,0.52,0.48,0.25,0.262,0.52,0.512,-0.008,c,colorimetric,0.04,0.032,8.33,6.67,,,1,0.512,0.032,0.032,c (low)
476,85,Spring - 2017,(low),133,0.104,0.134,0.089,0.09,colorimetric,0.194,0.199,0.104,0.089,0.194,0.193,-0.001,c,colorimetric,NA,-0.006,NA,-3.02,,,1,0.193,-0.006,-0.006,c (low)
481,538,Fall - 2015,(high),128,0.804,0.518,2.8,3.04,colorimetric,2.45,3.53,0.804,2.8,2.45,3.604,1.154,c,colorimetric,-1.08,0.074,-30.59,2.1,X,,1,3.604,0.074,0.074,c (high)
483,538,Spring - 2012,(high),114,0.992,1.03,1.151,1.13,colorimetric,2.004,2.15,0.992,1.151,2.004,2.143,0.139,c,colorimetric,-0.146,-0.007,-6.79,-0.33,,,1,2.143,-0.007,-0.007,c (high)
484,538,Spring - 2012,(low),113,0.2,0.258,0.104,0.107,colorimetric,0.587,0.349,0.2,0.104,0.587,0.304,-0.283,c,colorimetric,0.238,-0.045,68.19,-12.89,,,1,0.304,-0.045,-0.045,c (low)
485,538,Spring - 2015,(high),126,0.533,0.392,1.432,1.48,colorimetric,1.783,1.86,0.533,1.432,1.783,1.965,0.182,c,colorimetric,-0.077,0.105,-4.14,5.65,,,1,1.965,0.105,0.105,c (high)
487,555,Fall - 2012,(high),116,0.41,0.428,0.52,0.445,colorimetric,0.7,0.889,0.41,0.52,0.7,0.93,0.23,c,colorimetric,-0.189,0.041,-21.26,4.61,,,1,0.93,0.041,0.041,c (high)
488,10,Fall - 2012,(high),116,0.4,0.428,0.44,0.445,colorimetric,NA,0.889,0.4,0.44,0.84,0.84,NA,c,NA,NA,-0.049,NA,-5.51,,,0,0.84,-0.049,-0.049,c (high)
489,10,Fall - 2012,(low),115,0.23,0.264,0.22,0.228,colorimetric,NA,0.463,0.23,0.22,0.45,0.45,NA,c,NA,NA,-0.013,NA,-2.81,,,0,0.45,-0.013,-0.013,c (low)
490,10,Spring - 2012,(high),114,1.05,1.03,1.13,1.13,colorimetric,NA,2.15,1.05,1.13,2.18,2.18,NA,c,NA,NA,0.03,NA,1.4,,,0,2.18,0.03,0.03,c (high)
491,10,Spring - 2012,(low),113,0.26,0.258,0.1,0.107,colorimetric,NA,0.349,0.26,0.1,0.36,0.36,NA,c,NA,NA,0.011,NA,3.15,,,0,0.36,0.011,0.011,c (low)
492,10,Spring - 2013,(high),118,1.023,0.93,0.57,0.59,colorimetric,NA,1.48,1.023,0.57,1.593,1.593,NA,c,NA,NA,0.113,NA,7.64,,,0,1.593,0.113,0.113,c (high)
493,10,Spring - 2013,(low),117,0.44,0.44,0.21,0.22,colorimetric,NA,0.641,0.44,0.21,0.65,0.65,NA,c,NA,NA,0.009,NA,1.4,,,0,0.65,0.009,0.009,c (low)
494,10,Spring - 2014,(high),122,0.58,0.59,1.1,1.1,colorimetric,NA,1.7,0.58,1.1,1.68,1.68,NA,c,NA,NA,-0.02,NA,-1.18,,,0,1.68,-0.02,-0.02,c (high)
495,10,Spring - 2014,(low),121,0.16,0.139,0.4,0.418,colorimetric,NA,0.555,0.16,0.4,0.56,0.56,NA,c,NA,NA,0.005,NA,0.9,,,0,0.56,0.005,0.005,c (low)
496,10,Spring - 2015,(high),126,0.39,0.392,1.5,1.48,colorimetric,NA,1.86,0.39,1.5,1.89,1.89,NA,c,NA,NA,0.03,NA,1.61,,,0,1.89,0.03,0.03,c (high)
497,10,Spring - 2015,(low),125,0.13,0.162,0.294,0.307,colorimetric,NA,0.464,0.13,0.294,0.424,0.424,NA,c,NA,NA,-0.04,NA,-8.62,,,0,0.424,-0.04,-0.04,c (low)
498,12,Fall - 2012,(high),116,0.5,0.428,0.44,0.445,colorimetric,NA,0.889,0.5,0.44,0.94,0.94,NA,c,NA,NA,0.051,NA,5.74,,,0,0.94,0.051,0.051,c (high)
500,12,Fall - 2014,(low),123,0.4,0.32,0.26,0.257,colorimetric,NA,0.555,0.4,0.26,0.66,0.66,NA,c,NA,NA,0.105,NA,18.92,,,0,0.66,0.105,0.105,c (low)
502,12,Fall - 2015,(low),127,0.1,0.139,0.34,0.302,colorimetric,NA,0.437,0.1,0.34,0.44,0.44,NA,c,NA,NA,0.003,NA,0.69,,,0,0.44,0.003,0.003,c (low)
503,12,Fall - 2016,(high),132,0.4,0.317,0.88,0.933,colorimetric,NA,1.24,0.4,0.88,1.28,1.28,NA,c,NA,NA,0.04,NA,3.23,,,0,1.28,0.04,0.04,c (high)
504,12,Fall - 2016,(low),131,0.2,0.14,0.34,0.362,colorimetric,NA,0.491,0.2,0.34,0.54,0.54,NA,c,NA,NA,0.049,NA,9.98,,,0,0.54,0.049,0.049,c (low)
505,12,Fall - 2017,(high),136,0.5,0.409,0.63,0.639,colorimetric,NA,1.06,0.5,0.63,1.13,1.13,NA,c,NA,NA,0.07,NA,6.6,,,0,1.13,0.07,0.07,c (high)
506,12,Fall - 2017,(low),135,0.2,0.18,0.43,0.436,colorimetric,NA,0.616,0.2,0.43,0.63,0.63,NA,c,NA,NA,0.014,NA,2.27,,,0,0.63,0.014,0.014,c (low)
509,12,Spring - 2012,(high),114,1.1,1.03,1.11,1.13,colorimetric,NA,2.15,1.1,1.11,2.21,2.21,NA,c,NA,NA,0.06,NA,2.79,,,0,2.21,0.06,0.06,c (high)
511,12,Spring - 2013,(low),117,0.5,0.44,0.22,0.22,colorimetric,NA,0.641,0.5,0.22,0.72,0.72,NA,c,NA,NA,0.079,NA,12.32,,,0,0.72,0.079,0.079,c (low)
512,12,Spring - 2014,(high),122,0.6,0.59,1.06,1.1,colorimetric,NA,1.7,0.6,1.06,1.66,1.66,NA,c,NA,NA,-0.04,NA,-2.35,,,0,1.66,-0.04,-0.04,c (high)
513,12,Spring - 2014,(low),121,0.2,0.139,0.43,0.418,colorimetric,NA,0.555,0.2,0.43,0.63,0.63,NA,c,NA,NA,0.075,NA,13.51,,,0,0.63,0.075,0.075,c (low)
514,12,Spring - 2015,(high),126,0.4,0.392,1.48,1.48,colorimetric,NA,1.86,0.4,1.48,1.88,1.88,NA,c,NA,NA,0.02,NA,1.08,,,0,1.88,0.02,0.02,c (high)
515,12,Spring - 2015,(low),125,0.2,0.162,0.3,0.307,colorimetric,NA,0.464,0.2,0.3,0.5,0.5,NA,c,NA,NA,0.036,NA,7.76,,,0,0.5,0.036,0.036,c (low)
516,12,Spring - 2016,(high),130,0.6,0.547,1.8,1.81,colorimetric,NA,2.32,0.6,1.8,2.4,2.4,NA,c,NA,NA,0.08,NA,3.45,,,0,2.4,0.08,0.08,c (high)
517,12,Spring - 2016,(low),129,0.2,0.24,0.27,0.267,colorimetric,NA,0.48,0.2,0.27,0.47,0.47,NA,c,NA,NA,-0.01,NA,-2.08,,,0,0.47,-0.01,-0.01,c (low)
519,12,Spring - 2018,(low),137,0.25,0.143,0.31,0.326,colorimetric,NA,0.45,0.25,0.31,0.56,0.56,NA,c,NA,NA,0.11,NA,24.44,,,0,0.56,0.11,0.11,c (low)
520,16,Fall - 2012,(high),116,0.46,0.428,0.45,0.445,colorimetric,0.91,0.889,0.46,0.45,0.91,0.91,0,c,other,NA,0.021,NA,2.36,,,0,0.91,0.021,0.021,c (high)
521,16,Fall - 2012,(low),115,0.21,0.264,0.23,0.228,colorimetric,0.44,0.463,0.21,0.23,0.44,0.44,0,c,other,NA,-0.023,NA,-4.97,,,0,0.44,-0.023,-0.023,c (low)
523,16,Fall - 2013,(low),119,0.25,0.267,0.26,0.271,colorimetric,0.51,0.536,0.25,0.26,0.51,0.51,0,c,other,NA,-0.026,NA,-4.85,,,0,0.51,-0.026,-0.026,c (low)
524,16,Fall - 2014,(high),124,0.15,0.212,0.57,0.556,colorimetric,0.72,0.73,0.15,0.57,0.72,0.72,0,c,other,NA,-0.01,NA,-1.37,,,0,0.72,-0.01,-0.01,c (high)
527,16,Fall - 2015,(low),127,0.09,0.139,0.3,0.302,colorimetric,0.39,0.437,0.09,0.3,0.39,0.39,0,c,other,NA,-0.047,NA,-10.76,,,0,0.39,-0.047,-0.047,c (low)
528,16,Fall - 2016,(high),132,0.38,0.317,0.91,0.933,colorimetric,1.29,1.24,0.38,0.91,1.29,1.29,0,c,other,NA,0.05,NA,4.03,,,0,1.29,0.05,0.05,c (high)
529,16,Fall - 2016,(low),131,0.24,0.14,0.35,0.362,colorimetric,0.59,0.491,0.24,0.35,0.59,0.59,0,c,other,NA,0.099,NA,20.16,,,0,0.59,0.099,0.099,c (low)
530,16,Fall - 2017,(high),136,0.41,0.409,0.66,0.639,colorimetric,1.07,1.06,0.41,0.66,1.07,1.07,0,c,other,NA,0.01,NA,0.94,,,0,1.07,0.01,0.01,c (high)
531,16,Fall - 2017,(low),135,0.18,0.18,0.45,0.436,colorimetric,0.63,0.616,0.18,0.45,0.63,0.63,0,c,other,NA,0.014,NA,2.27,,,0,0.63,0.014,0.014,c (low)
532,16,Fall - 2018,(high),140,0.47,0.486,0.66,0.663,colorimetric,1.13,1.14,0.47,0.66,1.13,1.13,0,c,other,NA,-0.01,NA,-0.88,,,0,1.13,-0.01,-0.01,c (high)
533,16,Fall - 2018,(low),139,0.13,0.111,0.21,0.2,colorimetric,0.34,0.307,0.13,0.21,0.34,0.34,0,c,other,NA,0.033,NA,10.75,,,0,0.34,0.033,0.033,c (low)
534,16,Spring - 2012,(high),114,1.02,1.03,1.09,1.13,colorimetric,2.11,2.15,1.02,1.09,2.11,2.11,0,c,other,NA,-0.04,NA,-1.86,,,0,2.11,-0.04,-0.04,c (high)
536,16,Spring - 2013,(low),117,0.37,0.44,0.22,0.22,colorimetric,0.59,0.641,0.37,0.22,0.59,0.59,0,c,other,NA,-0.051,NA,-7.96,,,0,0.59,-0.051,-0.051,c (low)
537,16,Spring - 2014,(high),122,0.61,0.59,1.07,1.1,colorimetric,1.68,1.7,0.61,1.07,1.68,1.68,0,c,other,NA,-0.02,NA,-1.18,,,0,1.68,-0.02,-0.02,c (high)
538,16,Spring - 2014,(low),121,0.21,0.139,0.41,0.418,colorimetric,0.62,0.555,0.21,0.41,0.62,0.62,0,c,other,NA,0.065,NA,11.71,,,0,0.62,0.065,0.065,c (low)
539,16,Spring - 2015,(high),126,0.43,0.392,1.47,1.48,colorimetric,1.9,1.86,0.43,1.47,1.9,1.9,0,c,other,NA,0.04,NA,2.15,,,0,1.9,0.04,0.04,c (high)
540,16,Spring - 2015,(low),125,0.21,0.162,0.31,0.307,colorimetric,0.52,0.464,0.21,0.31,0.52,0.52,0,c,other,NA,0.056,NA,12.07,,,0,0.52,0.056,0.056,c (low)
541,16,Spring - 2016,(high),130,0.51,0.547,1.76,1.81,colorimetric,2.27,2.32,0.51,1.76,2.27,2.27,0,c,other,NA,-0.05,NA,-2.16,,,0,2.27,-0.05,-0.05,c (high)
542,16,Spring - 2016,(low),129,0.25,0.24,0.26,0.267,colorimetric,0.51,0.48,0.25,0.26,0.51,0.51,0,c,other,NA,0.03,NA,6.25,,,0,0.51,0.03,0.03,c (low)
543,16,Spring - 2017,(high),134,0.13,0.196,0.81,0.801,colorimetric,0.94,0.98,0.13,0.81,0.94,0.94,0,c,other,NA,-0.04,NA,-4.08,,,0,0.94,-0.04,-0.04,c (high)
545,16,Spring - 2018,(low),137,0.18,0.143,0.34,0.326,colorimetric,0.52,0.45,0.18,0.34,0.52,0.52,0,c,other,NA,0.07,NA,15.56,,,0,0.52,0.07,0.07,c (low)
546,31,Fall - 2012,(low),115,0.267,0.264,0.238,0.228,colorimetric,NA,0.463,0.267,0.238,0.505,0.505,NA,c,NA,NA,0.042,NA,9.07,,,0,0.505,0.042,0.042,c (low)
547,31,Fall - 2013,(low),119,0.259,0.267,0.277,0.271,colorimetric,NA,0.536,0.259,0.277,0.536,0.536,NA,c,NA,NA,0,NA,0,,,0,0.536,0,0,c (low)
548,31,Fall - 2014,(low),123,0.332,0.32,0.252,0.257,colorimetric,NA,0.555,0.332,0.252,0.584,0.584,NA,c,NA,NA,0.029,NA,5.23,,,0,0.584,0.029,0.029,c (low)
549,31,Fall - 2015,(low),127,0.134,0.139,0.305,0.302,colorimetric,NA,0.437,0.134,0.305,0.439,0.439,NA,c,NA,NA,0.002,NA,0.46,,,0,0.439,0.002,0.002,c (low)
550,31,Fall - 2016,(low),131,0.14,0.14,0.355,0.362,colorimetric,NA,0.491,0.14,0.355,0.495,0.495,NA,c,NA,NA,0.004,NA,0.81,,,0,0.495,0.004,0.004,c (low)
551,31,Fall - 2017,(low),135,0.178,0.18,0.436,0.436,colorimetric,NA,0.616,0.178,0.436,0.614,0.614,NA,c,NA,NA,-0.002,NA,-0.32,,,0,0.614,-0.002,-0.002,c (low)
552,31,Fall - 2018,(low),139,0.125,0.111,0.195,0.2,colorimetric,NA,0.307,0.125,0.195,0.32,0.32,NA,c,NA,NA,0.013,NA,4.23,,,0,0.32,0.013,0.013,c (low)
553,31,Spring - 2012,(low),113,0.255,0.258,0.107,0.107,colorimetric,NA,0.349,0.255,0.107,0.362,0.362,NA,c,NA,NA,0.013,NA,3.72,,,0,0.362,0.013,0.013,c (low)
554,31,Spring - 2013,(low),117,0.46,0.44,0.222,0.22,colorimetric,NA,0.641,0.46,0.222,0.682,0.682,NA,c,NA,NA,0.041,NA,6.4,,,0,0.682,0.041,0.041,c (low)
555,31,Spring - 2014,(low),121,0.142,0.139,0.424,0.418,colorimetric,NA,0.555,0.142,0.424,0.566,0.566,NA,c,NA,NA,0.011,NA,1.98,,,0,0.566,0.011,0.011,c (low)
556,31,Spring - 2015,(low),125,0.162,0.162,0.307,0.307,colorimetric,NA,0.464,0.162,0.307,0.469,0.469,NA,c,NA,NA,0.005,NA,1.08,,,0,0.469,0.005,0.005,c (low)
557,31,Spring - 2016,(low),129,0.195,0.24,0.266,0.267,colorimetric,NA,0.48,0.195,0.266,0.461,0.461,NA,c,NA,NA,-0.019,NA,-3.96,,,0,0.461,-0.019,-0.019,c (low)
558,31,Spring - 2017,(low),133,0.147,0.134,0.09,0.09,colorimetric,NA,0.199,0.147,0.09,0.237,0.237,NA,c,NA,NA,0.038,NA,19.1,,,0,0.237,0.038,0.038,c (low)
559,31,Spring - 2018,(low),137,0.147,0.143,0.323,0.326,colorimetric,NA,0.45,0.147,0.323,0.47,0.47,NA,c,NA,NA,0.02,NA,4.44,,,0,0.47,0.02,0.02,c (low)
561,46,Spring - 2012,(high),114,1.03,1.03,1.15,1.13,colorimetric,NA,2.15,1.03,1.15,2.18,2.18,NA,c,NA,NA,0.03,NA,1.4,,,0,2.18,0.03,0.03,c (high)
562,46,Spring - 2013,(high),118,0.907,0.93,0.603,0.59,colorimetric,NA,1.48,0.907,0.603,1.51,1.51,NA,c,NA,NA,0.03,NA,2.03,,,0,1.51,0.03,0.03,c (high)
563,46,Spring - 2014,(high),122,0.612,0.59,1.14,1.1,colorimetric,NA,1.7,0.612,1.14,1.752,1.752,NA,c,NA,NA,0.052,NA,3.06,,,0,1.752,0.052,0.052,c (high)
565,46,Spring - 2018,(high),138,0.421,0.495,0.8,0.79,colorimetric,NA,1.27,0.421,0.8,1.221,1.221,NA,c,NA,NA,-0.049,NA,-3.86,,,0,1.221,-0.049,-0.049,c (high)
566,50,Fall - 2012,(high),116,0.45,0.428,0.45,0.445,colorimetric,NA,0.889,0.45,0.45,0.9,0.9,NA,c,NA,NA,0.011,NA,1.24,,,0,0.9,0.011,0.011,c (high)
567,50,Fall - 2012,(low),115,0.24,0.264,0.23,0.228,colorimetric,NA,0.463,0.24,0.23,0.47,0.47,NA,c,NA,NA,0.007,NA,1.51,,,0,0.47,0.007,0.007,c (low)
568,50,Fall - 2014,(high),124,0.2,0.212,0.55,0.556,colorimetric,NA,0.73,0.2,0.55,0.75,0.75,NA,c,NA,NA,0.02,NA,2.74,,,0,0.75,0.02,0.02,c (high)
569,50,Fall - 2015,(high),128,0.33,0.518,3.18,3.04,colorimetric,NA,3.53,0.33,3.18,3.51,3.51,NA,c,NA,NA,-0.02,NA,-0.57,,,0,3.51,-0.02,-0.02,c (high)
570,50,Fall - 2015,(low),127,0.13,0.139,0.31,0.302,colorimetric,NA,0.437,0.13,0.31,0.44,0.44,NA,c,NA,NA,0.003,NA,0.69,,,0,0.44,0.003,0.003,c (low)
571,50,Fall - 2016,(high),132,0.34,0.317,0.96,0.933,colorimetric,NA,1.24,0.34,0.96,1.3,1.3,NA,c,NA,NA,0.06,NA,4.84,,,0,1.3,0.06,0.06,c (high)
572,50,Fall - 2016,(low),131,0.16,0.14,0.37,0.362,colorimetric,NA,0.491,0.16,0.37,0.53,0.53,NA,c,NA,NA,0.039,NA,7.94,,,0,0.53,0.039,0.039,c (low)
573,50,Fall - 2018,(high),140,0.49,0.486,0.722,0.663,colorimetric,NA,1.14,0.49,0.722,1.212,1.212,NA,c,NA,NA,0.072,NA,6.32,,,0,1.212,0.072,0.072,c (high)
574,50,Fall - 2018,(low),139,0.106,0.111,0.213,0.2,colorimetric,NA,0.307,0.106,0.213,0.319,0.319,NA,c,NA,NA,0.012,NA,3.91,,,0,0.319,0.012,0.012,c (low)
576,50,Spring - 2012,(low),113,0.2,0.258,0.11,0.107,colorimetric,NA,0.349,0.2,0.11,0.31,0.31,NA,c,NA,NA,-0.039,NA,-11.17,,,0,0.31,-0.039,-0.039,c (low)
577,50,Spring - 2013,(high),118,0.94,0.93,0.59,0.59,colorimetric,NA,1.48,0.94,0.59,1.53,1.53,NA,c,NA,NA,0.05,NA,3.38,,,0,1.53,0.05,0.05,c (high)
578,50,Spring - 2013,(low),117,0.42,0.44,0.22,0.22,colorimetric,NA,0.641,0.42,0.22,0.64,0.64,NA,c,NA,NA,-0.001,NA,-0.16,,,0,0.64,-0.001,-0.001,c (low)
579,50,Spring - 2014,(high),122,0.6,0.59,1.1,1.1,colorimetric,NA,1.7,0.6,1.1,1.7,1.7,NA,c,NA,NA,0,NA,0,,,0,1.7,0,0,c (high)
580,50,Spring - 2014,(low),121,0.13,0.139,0.41,0.418,colorimetric,NA,0.555,0.13,0.41,0.54,0.54,NA,c,NA,NA,-0.015,NA,-2.7,,,0,0.54,-0.015,-0.015,c (low)
582,50,Spring - 2015,(low),125,0.14,0.162,0.31,0.307,colorimetric,NA,0.464,0.14,0.31,0.45,0.45,NA,c,NA,NA,-0.014,NA,-3.02,,,0,0.45,-0.014,-0.014,c (low)
583,50,Spring - 2016,(high),130,0.51,0.547,1.82,1.81,colorimetric,NA,2.32,0.51,1.82,2.33,2.33,NA,c,NA,NA,0.01,NA,0.43,,,0,2.33,0.01,0.01,c (high)
584,50,Spring - 2016,(low),129,0.31,0.24,0.26,0.267,colorimetric,NA,0.48,0.31,0.26,0.57,0.57,NA,c,NA,NA,0.09,NA,18.75,,,0,0.57,0.09,0.09,c (low)
585,50,Spring - 2018,(high),138,0.51,0.495,0.82,0.79,colorimetric,NA,1.27,0.51,0.82,1.33,1.33,NA,c,NA,NA,0.06,NA,4.72,,,0,1.33,0.06,0.06,c (high)
586,72,Fall - 2012,(high),116,0.412,0.428,0.468,0.445,colorimetric,NA,0.889,0.412,0.468,0.88,0.88,NA,c,NA,NA,-0.009,NA,-1.01,,,0,0.88,-0.009,-0.009,c (high)
587,72,Fall - 2012,(low),115,0.262,0.264,0.252,0.228,colorimetric,NA,0.463,0.262,0.252,0.514,0.514,NA,c,NA,NA,0.051,NA,11.02,,,0,0.514,0.051,0.051,c (low)
589,72,Fall - 2013,(low),119,0.215,0.267,0.288,0.271,colorimetric,NA,0.536,0.215,0.288,0.503,0.503,NA,c,NA,NA,-0.033,NA,-6.16,,,0,0.503,-0.033,-0.033,c (low)
590,72,Fall - 2014,(high),124,0.171,0.212,0.553,0.556,colorimetric,NA,0.73,0.171,0.553,0.724,0.724,NA,c,NA,NA,-0.006,NA,-0.82,,,0,0.724,-0.006,-0.006,c (high)
591,72,Fall - 2014,(low),123,0.292,0.32,0.266,0.257,colorimetric,NA,0.555,0.292,0.266,0.558,0.558,NA,c,NA,NA,0.003,NA,0.54,,,0,0.558,0.003,0.003,c (low)
593,72,Fall - 2015,(low),127,0.144,0.139,0.326,0.302,colorimetric,NA,0.437,0.144,0.326,0.47,0.47,NA,c,NA,NA,0.033,NA,7.55,,,0,0.47,0.033,0.033,c (low)
594,72,Fall - 2016,(high),132,0.306,0.317,0.935,0.933,colorimetric,NA,1.24,0.306,0.935,1.241,1.241,NA,c,NA,NA,0.001,NA,0.08,,,0,1.241,0.001,0.001,c (high)
595,72,Fall - 2016,(low),131,0.156,0.14,0.367,0.362,colorimetric,NA,0.491,0.156,0.367,0.523,0.523,NA,c,NA,NA,0.032,NA,6.52,,,0,0.523,0.032,0.032,c (low)
597,72,Fall - 2017,(low),135,0.195,0.18,0.428,0.436,colorimetric,NA,0.616,0.195,0.428,0.623,0.623,NA,c,NA,NA,0.007,NA,1.14,,,0,0.623,0.007,0.007,c (low)
599,72,Fall - 2018,(low),139,0.0755,0.111,0.2,0.2,colorimetric,NA,0.307,0.0755,0.2,0.2755,0.2755,NA,c,NA,NA,-0.0315,NA,-10.26,,,0,0.2755,-0.0315,-0.0315,c (low)
600,72,Spring - 2012,(high),114,0.98,1.03,1.25,1.13,colorimetric,NA,2.15,0.98,1.25,2.23,2.23,NA,c,NA,NA,0.08,NA,3.72,,,0,2.23,0.08,0.08,c (high)
601,72,Spring - 2012,(low),113,0.226,0.258,0.109,0.107,colorimetric,NA,0.349,0.226,0.109,0.335,0.335,NA,c,NA,NA,-0.014,NA,-4.01,,,0,0.335,-0.014,-0.014,c (low)
602,72,Spring - 2013,(high),118,0.922,0.93,0.573,0.59,colorimetric,NA,1.48,0.922,0.573,1.495,1.495,NA,c,NA,NA,0.015,NA,1.01,,,0,1.495,0.015,0.015,c (high)
603,72,Spring - 2013,(low),117,0.432,0.44,0.22,0.22,colorimetric,NA,0.641,0.432,0.22,0.652,0.652,NA,c,NA,NA,0.011,NA,1.72,,,0,0.652,0.011,0.011,c (low)
604,72,Spring - 2014,(high),122,0.546,0.59,1.12,1.1,colorimetric,NA,1.7,0.546,1.12,1.666,1.666,NA,c,NA,NA,-0.034,NA,-2,,,0,1.666,-0.034,-0.034,c (high)
605,72,Spring - 2014,(low),121,0.163,0.139,0.407,0.418,colorimetric,NA,0.555,0.163,0.407,0.57,0.57,NA,c,NA,NA,0.015,NA,2.7,,,0,0.57,0.015,0.015,c (low)
606,72,Spring - 2015,(high),126,0.39,0.392,1.48,1.48,colorimetric,NA,1.86,0.39,1.48,1.87,1.87,NA,c,NA,NA,0.01,NA,0.54,,,0,1.87,0.01,0.01,c (high)
607,72,Spring - 2015,(low),125,0.189,0.162,0.324,0.307,colorimetric,NA,0.464,0.189,0.324,0.513,0.513,NA,c,NA,NA,0.049,NA,10.56,,,0,0.513,0.049,0.049,c (low)
608,72,Spring - 2016,(high),130,0.474,0.547,1.81,1.81,colorimetric,NA,2.32,0.474,1.81,2.284,2.284,NA,c,NA,NA,-0.036,NA,-1.55,,,0,2.284,-0.036,-0.036,c (high)
609,72,Spring - 2016,(low),129,0.196,0.24,0.265,0.267,colorimetric,NA,0.48,0.196,0.265,0.461,0.461,NA,c,NA,NA,-0.019,NA,-3.96,,,0,0.461,-0.019,-0.019,c (low)
610,72,Spring - 2017,(high),134,0.172,0.196,0.765,0.801,colorimetric,NA,0.98,0.172,0.765,0.937,0.937,NA,c,NA,NA,-0.043,NA,-4.39,,,0,0.937,-0.043,-0.043,c (high)
611,72,Spring - 2017,(low),133,0.102,0.134,0.088,0.09,colorimetric,NA,0.199,0.102,0.0883,0.1903,0.1903,NA,c,NA,NA,-0.0087,NA,-4.37,,,0,0.1903,-0.0087,-0.0087,c (low)
612,72,Spring - 2018,(high),138,0.424,0.495,0.797,0.79,colorimetric,NA,1.27,0.424,0.797,1.221,1.221,NA,c,NA,NA,-0.049,NA,-3.86,,,0,1.221,-0.049,-0.049,c (high)
613,72,Spring - 2018,(low),137,0.124,0.143,0.332,0.326,colorimetric,NA,0.45,0.124,0.332,0.456,0.456,NA,c,NA,NA,0.006,NA,1.33,,,0,0.456,0.006,0.006,c (low)
614,85,Fall - 2012,(high),116,0.38,0.428,0.46,0.445,Colorimetric,NA,0.889,0.38,0.46,0.84,0.84,NA,c,NA,NA,-0.049,NA,-5.51,,,0,0.84,-0.049,-0.049,c (high)
615,85,Fall - 2012,(low),115,0.28,0.264,0.23,0.228,colorimetric,NA,0.463,0.28,0.23,0.51,0.51,NA,c,NA,NA,0.047,NA,10.15,,,0,0.51,0.047,0.047,c (low)
616,85,Fall - 2013,(high),120,0.52,0.54,0.686,0.692,colorimetric,NA,1.21,0.52,0.686,1.206,1.206,NA,c,NA,NA,-0.004,NA,-0.33,,,0,1.206,-0.004,-0.004,c (high)
617,85,Fall - 2013,(low),119,0.23,0.267,0.274,0.271,colorimetric,NA,0.536,0.23,0.274,0.504,0.504,NA,c,NA,NA,-0.032,NA,-5.97,,,0,0.504,-0.032,-0.032,c (low)
618,85,Fall - 2016,(high),132,0.294,0.317,0.924,0.933,colorimetric,1.218,1.24,0.294,0.924,1.218,1.218,0,c,colorimetric,NA,-0.022,NA,-1.77,,,0,1.218,-0.022,-0.022,c (high)
619,85,Fall - 2016,(low),131,0.112,0.14,0.368,0.362,colorimetric,0.479,0.491,0.112,0.368,0.479,0.48,0.001,c,colorimetric,NA,-0.011,NA,-2.24,,,0,0.479,-0.012,-0.012,c (low)
621,85,Fall - 2017,(low),135,0.166,0.18,0.431,0.436,colorimetric,0.597,0.616,0.166,0.431,0.597,0.597,0,c,colorimetric,NA,-0.019,NA,-3.08,,,0,0.597,-0.019,-0.019,c (low)
622,85,Spring - 2012,(high),114,1.03,1.03,1.15,1.13,colorimetric,NA,2.15,1.03,1.15,2.18,2.18,NA,c,NA,NA,0.03,NA,1.4,,,0,2.18,0.03,0.03,c (high)
623,85,Spring - 2012,(low),113,0.24,0.258,0.107,0.107,colorimetric,NA,0.349,0.24,0.107,0.347,0.347,NA,c,NA,NA,-0.002,NA,-0.57,,,0,0.347,-0.002,-0.002,c (low)
624,85,Spring - 2013,(high),118,0.89,0.93,0.598,0.59,colorimetric,NA,1.48,0.89,0.598,1.488,1.488,NA,c,NA,NA,0.008,NA,0.54,,,0,1.488,0.008,0.008,c (high)
625,85,Spring - 2013,(low),117,0.43,0.44,0.221,0.22,colorimetric,NA,0.641,0.43,0.221,0.651,0.651,NA,c,NA,NA,0.01,NA,1.56,,,0,0.651,0.01,0.01,c (low)
626,85,Spring - 2016,(high),130,0.6,0.547,1.768,1.81,colorimetric,2.4,2.32,0.6,1.768,2.4,2.368,-0.032,c,colorimetric,NA,0.048,NA,2.07,,,0,2.4,0.08,0.08,c (high)
